City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
1,Hurghada,EG,73.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
2,Butaritari,KI,81.36,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
3,Praya,CV,70.34,clear sky,14.9215,-23.5087,LT Aparthotel
4,Kilindoni,TZ,79.5,light rain,-7.9139,39.6668,Bustani B&B
5,Sola,VU,81.86,few clouds,-13.8833,167.55,Leumerus Bungalows
6,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
7,Carutapera,BR,75.36,broken clouds,-1.195,-46.02,Lidera
8,Kulachi,PK,81.39,clear sky,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
9,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
10,Rikitea,PF,77.63,light rain,-23.1203,-134.9692,People ThankYou
11,Nara,JP,75.49,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
13,Havelock,US,73.94,clear sky,34.8791,-76.9013,Sherwood Motel
15,Anloga,GH,81.99,overcast clouds,5.7947,0.8973,Pin Drop Hotel
16,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
17,Puerto Ayora,EC,73.38,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Comalcalco,MX,82.71,clear sky,18.2667,-93.2167,Hotel Plaza Broca
20,Mana,GF,75.54,overcast clouds,5.6592,-53.7767,LE SAMANA
21,Bend,US,71.46,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
22,Terre-De-Bas,GP,78.31,few clouds,15.8501,-61.6442,Hôtel Bois Joli
23,Russell,US,78.4,clear sky,32.3502,-85.1999,Macs
24,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
25,Samarai,PG,83.19,broken clouds,-10.6167,150.6667,Nuli Sapi
26,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
27,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
28,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,San Patricio,US,81.9,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
30,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
31,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Atuona,PF,79.2,few clouds,-9.8,-139.0333,Villa Enata
33,Buchanan,LR,78.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
34,Victoria,HK,81.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
35,Belmonte,BR,77.94,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
36,Mogadishu,SO,80.73,overcast clouds,2.0371,45.3438,Hotel Juba
37,Yeppoon,AU,83.98,few clouds,-23.1333,150.7333,Villa Mar Colina
38,Kawalu,ID,83.68,broken clouds,-7.3817,108.2082,West Jontor
39,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
40,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
41,Hirara,JP,75.47,heavy intensity rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
42,Hithadhoo,MV,83.17,heavy intensity rain,-0.6,73.0833,Scoop Guest House
43,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
44,Sabang,ID,82.56,light rain,5.8933,95.3214,Hotel Citra
45,Niquelandia,BR,74.68,broken clouds,-14.4739,-48.4597,Hotel Suinã
46,Socorro,US,83.41,clear sky,31.6546,-106.3033,guarderia imss papalote
48,Walvis Bay,,76.15,clear sky,-22.9575,14.5053,Oyster Box Guesthouse
50,Bolobo,CD,71.87,broken clouds,-2.1667,16.2333,Hotel de Stephen
52,Norcasia,CO,72.0,overcast clouds,5.5778,-74.8852,Hotel Amani
53,Kapoeta,SS,76.73,overcast clouds,4.7717,33.5903,Eastgate Hotel
54,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
55,Iiyama,JP,76.84,clear sky,36.85,138.3667,紙ふうせん
56,Hilo,US,77.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
57,Isangel,VU,81.01,clear sky,-19.55,169.2667,Tanna Lodge
58,Axim,GH,79.84,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
59,Tual,ID,84.04,moderate rain,-5.6667,132.75,Grand Vilia Hotel
60,Bucerias,MX,76.98,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
62,Touros,BR,76.17,heavy intensity rain,-5.1989,-35.4608,INN NEW HORIZON
63,Biak,ID,84.0,overcast clouds,-0.9131,122.8766,Penginapan Kim
64,Tura,IN,80.55,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
65,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
66,Sao Filipe,CV,71.73,clear sky,14.8961,-24.4956,Hotel Xaguate
67,Nuevo Progreso,MX,80.47,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
68,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
69,Biloela,AU,84.7,clear sky,-24.4167,150.5,Silo Motor Inn Biloela
70,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
71,Moerai,PF,79.3,light rain,-22.4333,-151.3333,Le Manotel
72,Arraial Do Cabo,BR,75.16,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
73,Jacareacanga,BR,73.53,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
74,Kavieng,PG,84.87,light rain,-2.5744,150.7967,Nusa Island Retreat
75,Parrita,CR,76.51,overcast clouds,9.5201,-84.3225,Beso del Viento
76,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
77,Sao Jose Da Coroa Grande,BR,77.72,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
78,Jacmel,HT,80.44,broken clouds,18.2342,-72.5347,Historic Hotel Florita
80,Valdosta,US,75.15,clear sky,30.8327,-83.2785,Courtyard by Marriott Valdosta
81,Bambanglipuro,ID,83.7,overcast clouds,-7.95,110.2833,Puri Brata
82,Cabo San Lucas,MX,76.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
83,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
85,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
86,Itoman,JP,75.58,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
88,Alappuzha,IN,79.9,overcast clouds,9.49,76.3264,Panoramic Sea Resort
89,Funadhoo,MV,84.85,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
90,Cabrobo,BR,74.61,overcast clouds,-8.5142,-39.31,Hotel Limarques
91,Fukue,JP,70.16,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
92,Ranong,TH,82.33,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
93,Bandar-E Lengeh,IR,75.31,mist,26.5579,54.8807,کافی نت پارس
94,Balabag,PH,83.8,few clouds,11.97,121.9192,Astoria Boracay
95,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
96,Ballina,AU,80.02,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
97,Yongan,CN,79.63,overcast clouds,39.6957,113.6871,Beiyue International Hotel
98,Portland,US,71.64,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
99,Tecoanapa,MX,80.44,overcast clouds,16.5167,-98.75,Hotel Manglares
100,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
101,Beidao,CN,73.65,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
102,Padang,ID,84.25,broken clouds,-0.9492,100.3543,Mercure Padang
104,Soe,ID,77.79,broken clouds,-9.8607,124.284,Dena Hotel
105,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
106,Luanda,AO,76.01,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
107,Babu,CN,81.09,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
108,Solok,ID,79.75,broken clouds,-0.7918,100.6593,Mami Hotel & Restaurant
109,Cockburn Town,TC,77.54,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
110,Bandarbeyla,SO,82.35,scattered clouds,9.4942,50.8122,JABIR HOTEL
111,Vao,NC,75.56,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
112,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
113,Tongliao,CN,83.21,overcast clouds,43.6125,122.2653,Meirujia Hotel
114,Port Blair,IN,78.84,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
115,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
