City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saskylakh,RU,2022-05-04 17:46:57,71.9167,114.0833,22.01,91,100,6.17
1,Kavieng,PG,2022-05-04 17:46:57,-2.5744,150.7967,82.49,77,75,10.92
2,Khatanga,RU,2022-05-04 17:46:58,71.9667,102.5,1.54,100,97,2.75
3,Severo-Kurilsk,RU,2022-05-04 17:46:59,50.6789,156.125,33.49,87,97,3.76
4,Dingle,PH,2022-05-04 17:46:59,10.9995,122.6711,77.4,82,80,7.36
5,Roma,US,2022-05-04 17:47:00,43.2128,-75.4557,55.72,96,100,8.05
6,Jamestown,US,2022-05-04 17:45:09,42.097,-79.2353,53.53,94,100,10.36
7,Saldanha,ZA,2022-05-04 17:47:00,-33.0117,17.9442,64.45,92,66,9.22
8,Buraydah,SA,2022-05-04 17:47:01,26.326,43.975,97.25,12,31,8.03
9,Hobart,AU,2022-05-04 17:47:02,-42.8794,147.3294,43.05,90,72,9.22
10,Caucaia,BR,2022-05-04 17:47:02,-3.7361,-38.6531,84.15,72,75,12.66
11,Souillac,MU,2022-05-04 17:47:03,-20.5167,57.5167,79.18,78,40,16.11
12,Salinopolis,BR,2022-05-04 17:47:03,-0.6136,-47.3561,81.45,79,73,6.76
13,Batemans Bay,AU,2022-05-04 17:47:04,-35.7167,150.1833,63.1,95,90,3.4
14,Cabedelo,BR,2022-05-04 17:47:04,-6.9811,-34.8339,86.67,77,60,16.11
15,Carnarvon,AU,2022-05-04 17:47:04,-24.8667,113.6333,62.67,67,6,8.05
16,Busselton,AU,2022-05-04 17:47:05,-33.65,115.3333,52.18,65,0,13.24
17,Atuona,PF,2022-05-04 17:47:06,-9.8,-139.0333,79.23,72,81,15.79
18,Tolaga Bay,NZ,2022-05-04 17:47:06,-38.3667,178.3,56.75,87,67,0.36
19,Kalakamati,BW,2022-05-04 17:47:07,-20.5929,27.3121,63.81,49,68,8.55
20,Ushuaia,AR,2022-05-04 17:47:07,-54.8,-68.3,44.22,65,40,13.8
21,Burnie,AU,2022-05-04 17:47:08,-41.0667,145.9167,40.95,90,1,5.19
22,Dikson,RU,2022-05-04 17:47:08,73.5069,80.5464,15.66,82,96,21.03
23,Mahina,PF,2022-05-04 17:47:09,-17.5065,-149.489,80.37,78,75,6.91
24,Bilma,NE,2022-05-04 17:47:09,18.6853,12.9164,99.12,10,100,7.34
25,New Norfolk,AU,2022-05-04 17:47:10,-42.7826,147.0587,42.71,80,54,1.72
26,Merauke,ID,2022-05-04 17:47:10,-8.4667,140.3333,77.56,85,83,11.34
27,Bilibino,RU,2022-05-04 17:47:11,68.0546,166.4372,25.07,96,100,1.1
28,East Moline,US,2022-05-04 17:47:11,41.5009,-90.4443,57.31,59,0,10.36
29,Yellowknife,CA,2022-05-04 17:43:06,62.456,-114.3525,37.92,87,100,19.57
30,Sao Filipe,CV,2022-05-04 17:47:12,14.8961,-24.4956,73.18,79,3,9.62
31,Fairbanks,US,2022-05-04 17:47:12,64.8378,-147.7164,46.92,56,0,0.0
32,Mataura,NZ,2022-05-04 17:47:13,-46.1927,168.8643,46.47,88,2,3.04
33,Rikitea,PF,2022-05-04 17:47:13,-23.1203,-134.9692,77.2,84,70,20.0
34,Dunedin,NZ,2022-05-04 17:47:14,-45.8742,170.5036,53.8,90,24,3.38
35,Punta Arenas,CL,2022-05-04 17:47:15,-53.15,-70.9167,44.71,81,75,14.97
36,Provideniya,RU,2022-05-04 17:47:15,64.3833,-173.3,26.65,86,59,9.13
37,Ribeira Grande,PT,2022-05-04 17:47:16,38.5167,-28.7,64.8,88,40,8.05
38,East London,ZA,2022-05-04 17:47:16,-33.0153,27.9116,67.14,94,40,1.14
39,Impfondo,CG,2022-05-04 17:47:17,1.6381,18.0667,72.61,98,95,6.53
40,Stryn,NO,2022-05-04 17:47:17,61.9045,6.7226,49.08,83,100,8.43
41,Port-Cartier,CA,2022-05-04 17:47:18,50.0334,-66.8654,39.74,97,100,1.23
42,Iqaluit,CA,2022-05-04 17:47:18,63.7506,-68.5145,11.93,73,20,21.85
43,Hamilton,US,2022-05-04 17:47:10,39.1834,-84.5333,58.75,80,100,10.36
44,Grand Gaube,MU,2022-05-04 17:47:20,-20.0064,57.6608,79.2,75,5,7.0
45,Redcar,GB,2022-05-04 17:47:20,54.6166,-1.06,61.14,50,68,1.99
46,Arraial Do Cabo,BR,2022-05-04 17:47:21,-22.9661,-42.0278,93.16,58,0,12.66
47,Gadung,PH,2022-05-04 17:48:21,6.8025,124.02,79.07,82,76,2.59
48,Avarua,CK,2022-05-04 17:48:22,-21.2078,-159.775,77.05,83,20,3.44
49,Coihueco,CL,2022-05-04 17:47:52,-36.6167,-71.8333,57.94,72,75,5.75
50,Chuy,UY,2022-05-04 17:48:23,-33.6971,-53.4616,65.62,67,52,8.12
51,Saint-Philippe,RE,2022-05-04 17:48:23,-21.3585,55.7679,74.79,87,55,14.72
52,Vaini,TO,2022-05-04 17:48:23,-21.2,-175.2,71.76,94,20,5.75
